session,quelle,thema,erstellt,selbsteinschaetzung-sprache,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,selbsteinschaetzung-bewertung
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,Student,International tourism is now more common than ever before (for),2023-03-28 12:50:51.221722+00:00,3,5,5,4,6,5,4,4,3
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-4,The Non-Issue of Same Sex Marriage,2023-03-28 12:51:13.030514+00:00,4,6,6,6,6,6,6,6,4
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-4,Using animals for the benefit of the human beings,2023-03-28 12:51:53.003723+00:00,3,4,4,4,4,4,4,4,3
iidiehcofyz0c0u11g2vu3nmgpjqlj15,ChatGPT-3,International tourism is now more common than ever before (for),2023-03-28 12:51:57.617580+00:00,1,5,4,3,4,4,4,4,0
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,ChatGPT-4,Gender Equality at university admission,2023-03-28 12:52:00.860558+00:00,3,4,2,5,1,2,3,4,1
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-4,Should students be taught to compete or to cooperate?,2023-03-28 12:52:03.213241+00:00,1,5,4,5,5,5,6,5,0
bnpk5arlgchs81ch0so6l8ult9uqyqiy,Student,International tourism is now more common than ever before (against),2023-03-28 12:52:08.434978+00:00,3,5,5,3,5,5,5,5,0
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-3,Should students be taught to compete or to cooperate?,2023-03-28 12:52:14.827625+00:00,5,6,6,5,6,6,6,6,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,ChatGPT-3,Living and studying overseas,2023-03-28 12:52:15.837198+00:00,4,4,3,2,6,3,3,5,3
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,More people are migrating to other countries than ever before,2023-03-28 12:52:17.397248+00:00,5,5,6,6,6,5,5,5,3
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,Will newspapers become a thing of the past?,2023-03-28 12:52:22.562148+00:00,4,5,6,5,6,6,5,6,3
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-4,Using animals for the benefit of the human beings,2023-03-28 12:52:23.040780+00:00,5,6,6,5,6,6,5,5,4
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,ChatGPT-4,Museums as a form of entertainment or education?,2023-03-28 12:52:27.923605+00:00,3,5,5,2,1,5,1,1,0
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-3,Computer replace  man power in jobs,2023-03-28 12:52:31.130359+00:00,3,4,4,4,5,3,5,4,3
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,ChatGPT-4,Should students be taught to compete or to cooperate?,2023-03-28 12:52:31.954626+00:00,3,5,5,5,6,5,5,6,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-4,More people are migrating to other countries than ever before,2023-03-28 12:52:35.556715+00:00,1,4,4,2,5,3,3,3,2
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,International tourism is now more common than ever before (against),2023-03-28 12:52:36.275003+00:00,0,2,3,4,4,4,4,3,0
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-3,Computer replace  man power in jobs,2023-03-28 12:52:38.160170+00:00,1,3,4,4,4,4,4,3,0
3ekw2nmnlpi8xlds6evadnvk99e4tznt,Student,The Non-Issue of Same Sex Marriage,2023-03-28 12:52:38.269775+00:00,5,4,3,4,6,5,5,5,1
csp5ciwsydqgtz6uq9l3a9145gcmq3as,ChatGPT-3,Why you should exercise,2023-03-28 12:52:38.545189+00:00,2,5,5,5,6,4,4,4,2
wwmqz42o3int4rtr1s5ea0oycp6kerm5,Student,Should students be taught to compete or to cooperate?,2023-03-28 12:52:47.976833+00:00,2,5,4,4,5,2,3,4,2
7dp5uc83ssih07i9zrammmdz6yxrm578,Student,Living and studying overseas,2023-03-28 12:52:50.159356+00:00,2,4,3,3,5,3,3,3,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,International tourism is now more common than ever before (for),2023-03-28 12:52:51.217241+00:00,2,4,4,3,6,3,5,4,2
o1kt32aukcf229hga3hdxmaqe1ezwhry,Student,International tourism is now more common than ever before (for),2023-03-28 12:52:51.344597+00:00,2,2,2,3,4,3,3,4,0
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-4,International tourism is now more common than ever before (against),2023-03-28 12:52:51.808796+00:00,2,4,4,2,5,4,4,4,0
jfxrdb4vpizn9mjmtka32psmk1htgegt,Student,Will newspapers become a thing of the past?,2023-03-28 12:52:52.167310+00:00,4,5,5,4,5,5,6,6,3
9uk952ds930jytbio28ptj8c3t7qfd0y,Student,The Non-Issue of Same Sex Marriage,2023-03-28 12:52:57.770455+00:00,2,2,2,3,2,4,3,3,0
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,ChatGPT-3,Air pollution,2023-03-28 12:52:59.160980+00:00,3,5,1,4,3,4,1,1,3
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,ChatGPT-3,Should students be taught to compete or to cooperate?,2023-03-28 12:53:03.468810+00:00,1,6,5,5,6,5,5,5,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,Student,Living and studying overseas,2023-03-28 12:53:03.826966+00:00,1,5,6,3,6,4,5,5,1
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-4,International tourism is now more common than ever before (against),2023-03-28 12:53:03.845429+00:00,4,5,5,4,6,6,6,6,3
iidiehcofyz0c0u11g2vu3nmgpjqlj15,Student,Gender Equality at university admission,2023-03-28 12:53:09.124672+00:00,1,2,3,2,3,2,3,3,0
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-3,Should rich countries help poor countries?,2023-03-28 12:53:09.842703+00:00,3,6,6,5,6,6,5,5,3
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-4,Will newspapers become a thing of the past?,2023-03-28 12:53:11.347499+00:00,5,6,6,5,6,6,6,6,4
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,Student,International tourism is now more common than ever before (against),2023-03-28 12:53:11.986206+00:00,4,2,4,2,3,2,3,3,2
bfb3uj06g3twa0h1oerv63pcacnffkls,ChatGPT-4,The Truth About Cannabis,2023-03-28 12:53:14.925443+00:00,5,5,5,4,6,4,5,5,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,Student,The Truth About Cannabis,2023-03-28 12:53:17.510373+00:00,5,5,5,5,6,5,6,6,2
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,Student,Effects of mobile phones,2023-03-28 12:53:24.209150+00:00,3,4,1,1,4,4,1,1,0
ruffupr6v7c4hcyndfmfklht33nr6r1y,Student,More people are migrating to other countries than ever before,2023-03-28 12:53:24.398510+00:00,5,1,1,1,4,4,4,4,4
tt7g5cc8q09pivcekvsfj83qnvphc0c3,Student,Technology cannot solve all the world's problems,2023-03-28 12:53:26.961433+00:00,2,2,3,3,3,5,5,5,2
fxty78tj0luhghulpp686zi9swrx64xi,ChatGPT-3,The Truth About Cannabis,2023-03-28 12:53:27.496610+00:00,2,5,5,3,5,5,5,5,2
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,Should rich countries help poor countries?,2023-03-28 12:53:27.650743+00:00,3,5,5,4,6,5,5,5,3
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-4,Locker checks,2023-03-28 12:53:28.170646+00:00,4,6,5,5,6,6,5,6,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,Student,More people are migrating to other countries than ever before,2023-03-28 12:53:29.458279+00:00,2,3,2,2,4,5,4,4,1
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-3,The Truth About Cannabis,2023-03-28 12:53:33.472870+00:00,5,5,4,5,6,5,5,5,3
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,International tourism is now more common than ever before (for),2023-03-28 12:53:38.345867+00:00,2,3,5,4,5,3,4,3,0
otoqe4kenlwd1n79qw5t6u98a78fd2wo,ChatGPT-4,Why you should exercise,2023-03-28 12:53:39.144434+00:00,3,5,5,5,6,3,5,4,2
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-3,International tourism is now more common than ever before (for),2023-03-28 12:53:42.939702+00:00,2,4,4,3,6,3,3,5,0
4uoh2nx86fnqgnkejetsvff15ade7r4p,Student,Advertisements affects on consumer goods,2023-03-28 12:53:45.900817+00:00,1,3,4,4,4,4,4,4,0
6vszxf66bcd0elzhfr99j3rio2nf3jyp,Student,Should rich countries help poor countries?,2023-03-28 12:53:47.991138+00:00,4,2,3,3,3,3,3,3,4
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,Technology cannot solve all the world's problems,2023-03-28 12:53:50.768851+00:00,1,4,4,2,5,4,5,5,1
yhhasgbui0x5dneax62an6p0y769nhca,ChatGPT-3,International tourism is now more common than ever before (against),2023-03-28 12:53:51.194428+00:00,0,5,5,4,6,6,5,5,0
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-3,Email and text messaging threats written language,2023-03-28 12:53:51.299351+00:00,3,3,3,3,3,3,3,3,0
0srbxg98ookztl91uhlt1s9rgtbw53s4,Student,Should students be taught to compete or to cooperate?,2023-03-28 12:53:57.591119+00:00,2,5,4,4,5,5,5,6,2
as43e4efz9lqo3l3lncscyq1p9smbcxf,Student,Why you should exercise,2023-03-28 12:54:00.113561+00:00,4,5,5,4,3,3,4,4,3
